Time Flux Fluxerr
1519.515365296 0.99923531 0.000851266
1519.536199234 0.998078988 0.000851855
1519.557033172 0.998661247 0.000851587
1519.577867109 1.000429949 0.000850662
1519.598701046 0.999632119 0.000851086
1519.619534981 1.000853062 0.000850538
1519.640368916 0.999893744 0.000850916
1519.66120285 0.999557798 0.000851063
1519.682036784 1.00082563 0.000850489
1519.702870717 1.001380601 0.000850168
1519.723704649 1.000692873 0.000850414
1519.744538581 0.99906751 0.000851195
1519.765372511 0.999768355 0.000850807
1519.786206441 0.999622076 0.000850918
1519.80704037 0.999853387 0.000850783
1519.827874298 0.999125754 0.000851184
1519.848708227 1.000057575 0.000850766
1519.869542153 0.999409201 0.000851104
1519.890376079 1.000409129 0.000850666
1519.911210005 1.001235448 0.000850254
1519.93204393 1.00036383 0.000850641
1519.952877854 1.000203258 0.000850738
1519.973711777 0.999556731 0.000851094
1519.9945457 0.997943268 0.000851783
1520.015379622 1.001344932 0.000850251
1520.036213543 0.999317582 0.00085113
1520.057047464 1.000389872 0.000850704
1520.077881383 0.998758159 0.000851432
1520.098715302 0.997770575 0.000851929
1520.11954922 1.000454432 0.000850759
1520.140383138 0.99838608 0.000851721
1520.161217054 0.998241678 0.000851842
1520.18205097 0.998911428 0.000851588
1520.202884885 1.00052402 0.000850822
1520.2237188 0.999187399 0.000851474
1520.244552714 1.000243938 0.000851012
1520.265386627 0.999733383 0.000851331
1520.286220538 1.001356922 0.000850488
1520.307054448 0.99964182 0.000851289
1520.327888358 1.000105957 0.000851072
1520.348722268 1.000244167 0.000851033
1520.369556178 1.000125205 0.000851092
1520.390390086 0.999359418 0.000851486
1520.411223994 0.999999081 0.000851181
1520.432057901 1.001770083 0.000850391
1520.452891807 0.999752635 0.000851319
1520.473725712 0.999736369 0.000851397
1520.494559617 1.00197798 0.000850345
1520.51533231567 NA NA
1520.536227424 1.001742431 0.000850511
1520.557061326 1.001203874 0.000850719
1520.577895227 1.000087546 0.000851255
1520.598729128 1.00026738 0.000851148
1520.619563028 0.999130089 0.0008516
1520.640396928 0.998433669 0.000851933
1520.661230826 0.999033293 0.000851764
1520.682064724 0.999593664 0.00085141
1520.702898621 0.999306138 0.000851573
1520.723732517 1.000797349 0.000850767
1520.744566412 0.998833799 0.00085173
1520.765400307 0.998624026 0.000851761
1520.786234201 1.000176285 0.000851037
1520.807068094 0.999828366 0.000851247
1520.827901986 1.001036645 0.000850633
1520.848735877 0.999761475 0.000851199
1520.869569768 0.999010773 0.000851486
1520.890403658 1.000331988 0.000850842
1520.911237548 0.99993339 0.000850985
1520.932071436 1.001504029 0.000850255
1520.952905324 0.998638132 0.000851634
1520.97373921 1.001112763 0.000850427
1520.994573096 0.999237596 0.000851319
1521.015406982 0.998680156 0.000851554
1521.036240866 0.999491561 0.000851231
1521.05707475 0.997703539 0.000852029
1521.077908633 1.00151433 0.000850329
1521.098742516 0.99896737 0.000851617
1521.119576397 0.999793888 0.000851093
1521.140410277 0.999476957 0.000851304
1521.161244157 0.998977965 0.000851515
1521.182078037 0.999870912 0.000851096
1521.202911915 1.000011749 0.00085111
1521.223745792 1.000446014 0.000850939
1521.244579669 1.000154596 0.000851101
1521.265413545 0.998885524 0.000851687
1521.28624742 0.999848291 0.000851238
1521.307081295 1.000051007 0.000851103
1521.327915168 0.999713626 0.000851346
1521.348749041 1.002026693 0.000850261
1521.369582913 0.999710507 0.000851386
1521.390416784 1.000808669 0.000850878
1521.411250655 0.999698324 0.000851382
1521.432084524 0.999164834 0.000851635
1521.452918393 0.99943182 0.000851514
1521.473752261 1.00029757 0.000851081
1521.494586129 0.999378726 0.000851592
1521.515419995 0.999957715 0.000851325
1521.53625386 0.999363447 0.000851598
1521.557087726 0.999781553 0.000851389
1521.577921589 0.999883004 0.000851273
1521.598755453 0.999545394 0.00085144
1521.619589316 0.998511653 0.000852035
1521.640423177 1.000684083 0.000851007
1521.661257038 1.000094359 0.00085124
1521.682090898 0.998398541 0.000851999
1521.702924758 1.000420691 0.000850946
1521.723758616 1.000537271 0.000851044
1521.744592474 0.999219545 0.00085157
1521.765426331 0.999802493 0.000851338
1521.786260187 1.000724115 0.000850907
1521.807094043 1.001653952 0.00085047
1521.827927897 1.000164 0.000851172
1521.848761751 0.99975945 0.000851292
1521.869595604 0.999096503 0.000851569
1521.890429456 0.999665271 0.000851339
1521.911263307 0.99749894 0.000852348
1521.932097158 1.000090988 0.000851169
1521.952931007 0.998958576 0.000851727
1521.973764856 0.999753252 0.000851286
1521.994598705 1.000671303 0.000850839
1522.015432552 0.998107611 0.000852109
1522.036266399 0.999089943 0.000851718
1522.057100244 1.000752766 0.000850919
1522.077934089 0.997680927 0.000852333
1522.098767934 0.999613953 0.000851462
1522.119601777 1.000435295 0.000851205
1522.140435619 0.999789149 0.000851386
1522.161269461 0.999432103 0.000851658
1522.182103302 0.998022358 0.000852259
1522.202937142 0.999313564 0.000851692
1522.223770981 0.999511313 0.000851621
1522.24460482 0.998159933 0.000852239
1522.265438658 0.999999373 0.00085142
1522.286272494 0.999978454 0.000851435
1522.30710633 1.000065514 0.000851397
1522.327940166 0.99886164 0.000851909
1522.348774 1.000641674 0.000851166
1522.369607834 1.000155795 0.000851333
1522.390441666 0.99979943 0.000851462
1522.411275498 1.000299234 0.000851188
1522.43210933 1.000551981 0.000851108
1522.45294316 0.999576274 0.000851606
1522.47377699 0.998529789 0.000852014
1522.494610818 0.999215991 0.000851684
1522.515444646 0.99893101 0.000851819
1522.536278473 0.999490226 0.000851581
1522.5571123 1.000390782 0.000851186
1522.577946125 1.001188275 0.000850764
1522.59877995 0.998277046 0.000852155
1522.619613773 1.000527983 0.000851096
1522.640447597 1.000311537 0.000851242
1522.661281419 0.999277471 0.000851742
1522.68211524 1.00101135 0.000850936
1522.702949061 1.000431537 0.000851215
1522.723782881 0.999225201 0.000851815
1522.744616699 0.999159125 0.000851865
1522.765450518 0.999117755 0.000851849
1522.786284335 0.999456424 0.000851686
1522.807118151 0.997576864 0.000852521
1522.827951967 1.000401618 0.00085132
1522.848785782 1.000618176 0.000851224
1522.869619596 0.999742253 0.000851603
1522.890453409 0.999718136 0.000851682
1522.911287221 1.000182782 0.000851463
1522.932121033 0.999344931 0.000851876
1522.952954844 1.000353848 0.000851459
1522.973788653 0.999605015 0.000851804
1522.994622462 0.99981572 0.000851716
1523.015456271 1.000514261 0.000851497
1523.036290078 0.998405037 0.000852474
1523.057123884 1.001364154 0.000851093
1523.07795769 1.000250461 0.000851654
1523.098791495 1.000330462 0.000851693
1523.119625299 0.999020492 0.000852272
1523.140459102 0.998764644 0.00085241
1523.161292904 0.999596996 0.000852027
1523.182126706 1.001617476 0.000851173
1523.202960507 0.99979596 0.000852066
1523.223794307 1.001427682 0.000851292
1523.244628103 1.000006159 0.000851911
1523.265461901 1.001467638 0.000851326
1523.286295699 1.001376677 0.000851367
1523.307129495 1.000032227 0.00085207
1523.327963291 0.999947485 0.000852045
1523.348797086 0.997292037 0.00085323
1523.36963088 0.996273095 0.000853733
1523.390464673 0.994628177 0.000854505
1523.411298465 0.996448864 0.000853598
1523.432132256 1.000114802 0.000851893
1523.452966047 1.001602987 0.0008512
1523.473799837 0.999880199 0.000852037
1523.494633626 1.00195451 0.000851014
1523.515467414 1.000657452 0.000851541
1523.536301201 1.000004273 0.000851782
1523.557134987 0.998419741 0.000852506
1523.577968773 0.999746853 0.000851822
1523.598802557 1.000266434 0.000851536
1523.619636342 0.998604882 0.000852344
1523.64033231567 NA NA
1523.661303907 0.999809353 0.000851784
1523.682137688 1.000335618 0.000851541
1523.702971469 0.998396834 0.000852336
1523.723805248 0.998750263 0.000852169
1523.744639027 1.000864257 0.000851079
1523.765472804 0.999091635 0.000852011
1523.786306582 0.999812964 0.000851585
1523.807140358 0.999362681 0.000851822
1523.827974133 0.999823941 0.000851591
1523.848807908 1.000416519 0.000851278
1523.869641681 0.999158602 0.000851862
1523.890475454 1.00197026 0.000850551
1523.911309226 0.998753805 0.000851996
1523.932142997 1.000148431 0.000851502
1523.952976767 0.999442163 0.000851779
1523.973810536 1.000048119 0.000851504
1523.994644305 0.999461082 0.000851678
1524.015478072 1.000367227 0.000851304
1524.036311839 1.000046993 0.000851496
1524.057145605 1.000744849 0.000851166
1524.07797937 0.999227072 0.000851906
1524.098813134 1.000939967 0.000851044
1524.119646897 0.999671753 0.000851646
1524.14048066 1.000692093 0.000851329
1524.161314421 0.998796345 0.000852137
1524.182148181 0.999597074 0.000851754
1524.202981941 0.999502673 0.000851768
1524.2238157 0.999253008 0.000851988
1524.244649458 0.999585297 0.000851796
1524.265483215 0.998966444 0.000852118
1524.286316972 1.000086122 0.000851631
1524.307150727 1.000580176 0.000851411
1524.327984481 0.999951905 0.000851732
1524.348818235 0.999358194 0.000852019
1524.369651988 0.998620368 0.000852351
1524.390485739 0.997744654 0.00085271
1524.411319491 1.000229479 0.00085151
1524.432153241 1.000516322 0.00085138
1524.45298699 0.998678987 0.000852211
1524.473820738 0.998602377 0.000852186
1524.494654486 0.99946676 0.000851823
1524.515488232 1.000544461 0.000851314
1524.536321978 1.000310457 0.00085138
1524.557155722 0.999172467 0.000851928
1524.577989467 0.999557436 0.000851779
1524.598823209 1.00019902 0.000851449
1524.619656951 0.999525863 0.000851758
1524.640490692 0.999189055 0.000851957
1524.661324433 0.999535499 0.000851726
1524.682158172 1.001180611 0.00085097
1524.70299191 0.999953421 0.000851541
1524.723825648 1.00039985 0.000851387
1524.744659385 0.999931126 0.000851522
1524.765493121 1.000300865 0.000851376
1524.786326855 0.999901717 0.000851536
